"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 14:18:06 CEST 2022","Mon Aug 08 14:18:06 CEST 2022","641","","Window","","","","cy.window() - get the global window object",""
"passed","Mon Aug 08 14:16:50 CEST 2022","Mon Aug 08 14:16:50 CEST 2022","134","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Mon Aug 08 14:15:38 CEST 2022","Mon Aug 08 14:15:41 CEST 2022","2528","","Actions","","","",".click() - click on a DOM element",""
"passed","Mon Aug 08 14:15:25 CEST 2022","Mon Aug 08 14:15:25 CEST 2022","594","","example to-do app","","","","displays two todo items by default",""
"passed","Mon Aug 08 14:15:54 CEST 2022","Mon Aug 08 14:15:55 CEST 2022","1437","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Mon Aug 08 14:18:00 CEST 2022","Mon Aug 08 14:18:01 CEST 2022","610","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Mon Aug 08 14:16:23 CEST 2022","Mon Aug 08 14:16:23 CEST 2022","253","","Cypress.Cookies","","","",".preserveOnce() - preserve cookies by key",""
"passed","Mon Aug 08 14:16:01 CEST 2022","Mon Aug 08 14:16:02 CEST 2022","295","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Mon Aug 08 14:17:31 CEST 2022","Mon Aug 08 14:17:32 CEST 2022","218","","Traversal","","","",".first() - get first DOM element",""
"passed","Mon Aug 08 14:16:49 CEST 2022","Mon Aug 08 14:16:49 CEST 2022","139","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Mon Aug 08 14:17:32 CEST 2022","Mon Aug 08 14:17:33 CEST 2022","158","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Mon Aug 08 14:16:36 CEST 2022","Mon Aug 08 14:16:36 CEST 2022","799","","Local Storage","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Mon Aug 08 14:17:40 CEST 2022","Mon Aug 08 14:17:42 CEST 2022","1510","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Mon Aug 08 14:15:45 CEST 2022","Mon Aug 08 14:15:47 CEST 2022","2189","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Aug 08 14:17:14 CEST 2022","Mon Aug 08 14:17:14 CEST 2022","553","","Querying","","","","cy.get() - query DOM elements",""
"passed","Mon Aug 08 14:17:30 CEST 2022","Mon Aug 08 14:17:30 CEST 2022","433","","Traversal","","","",".children() - get child DOM elements",""
"passed","Mon Aug 08 14:16:01 CEST 2022","Mon Aug 08 14:16:01 CEST 2022","167","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Mon Aug 08 14:17:38 CEST 2022","Mon Aug 08 14:17:39 CEST 2022","875","","Utilities","","","","Cypress._ - call a lodash method",""
